Age,Gender,Annual_Income,Spending_Score,Previous_Purchases,Browsing_Time,Purchased
60,Male,85066,47,10,117,0
29,Female,117653,73,12,11,1
39,Female,68150,12,25,100,1
46,Male,193137,62,20,49,0
44,Female,110913,18,7,70,0
61,Male,17090,40,8,84,0
49,Male,80391,15,20,93,1
43,Female,17775,46,12,107,1
39,Female,65765,30,9,105,0
46,Male,163351,95,18,98,1
38,Female,134166,16,10,59,1
44,Male,149099,38,8,100,1
35,Male,116929,40,11,39,0
48,Female,117636,65,14,50,0
48,Female,47851,44,15,29,0
46,Female,116086,70,18,3,1
45,Female,39228,57,19,69,1
44,Male,189906,86,9,89,1
30,Male,90722,24,1,31,0
20,Male,158942,23,15,32,0
37,Male,33377,49,17,33,0
33,Male,80272,57,3,99,0
35,Female,157579,28,14,14,1
40,Female,124302,18,28,95,0
46,Female,195251,48,0,115,1
40,Female,82899,6,5,72,0
19,Male,113085,37,26,97,1
60,Male,91189,8,10,77,1
27,Male,121756,10,12,99,0
45,Female,189690,64,6,71,1
35,Male,47271,51,23,31,1
55,Male,108988,38,16,89,0
62,Female,22227,62,7,24,0
57,Male,166067,66,27,60,1
51,Female,199083,83,15,81,0
47,Female,145147,17,25,25,0
24,Female,182192,95,15,104,1
38,Male,124304,64,16,88,0
55,Female,19444,96,5,80,0
22,Male,112460,69,0,116,1
36,Female,95772,58,4,108,0
65,Male,96776,2,16,72,0
34,Female,76378,95,18,84,0
44,Male,27366,34,22,51,1
60,Male,78514,58,22,102,1
54,Male,28088,26,15,38,1
48,Male,167810,36,6,80,0
20,Female,44957,67,10,55,1
48,Female,152616,71,23,89,0
31,Male,144609,31,20,61,1
20,Male,124191,28,9,104,0
30,Male,147500,56,0,97,0
33,Male,185465,57,23,44,0
36,Male,177470,6,16,51,0
34,Female,22288,83,6,32,1
29,Female,115990,4,20,71,0
53,Female,147800,15,17,116,1
52,Male,143044,25,27,54,1
59,Male,171616,29,9,13,0
42,Male,55106,96,0,94,0
36,Female,56811,53,7,21,1
59,Female,140772,89,8,61,1
57,Male,177708,92,6,94,1
26,Female,132198,28,23,91,1
50,Female,160963,62,27,19,1
28,Male,172164,65,9,91,1
43,Male,34832,86,22,68,1
21,Female,119246,78,7,64,0
35,Female,37299,34,18,71,0
25,Male,36864,11,9,46,0
51,Female,58010,2,8,6,0
24,Male,189761,8,18,18,0
54,Male,116692,87,5,57,0
25,Female,60000,22,8,84,1
56,Female,32277,100,14,76,1
35,Female,27725,35,11,64,0
65,Female,155735,18,29,90,1
63,Female,54728,96,11,14,1
24,Male,50745,16,13,2,0
24,Female,16803,16,28,56,0
38,Male,23740,19,20,95,0
24,Male,186346,50,4,2,0
29,Female,40594,12,4,65,1
34,Female,153988,15,8,89,0
50,Female,37268,39,18,47,0
45,Male,132879,85,13,8,0
58,Male,182635,61,5,60,0
42,Male,173447,51,8,52,0
30,Male,22977,3,13,82,0
55,Male,125314,38,13,84,1
26,Female,196837,93,2,107,1
38,Male,134595,66,14,22,1
31,Female,155472,81,21,89,0
30,Male,33277,87,0,87,0
30,Female,152790,97,21,119,0
25,Female,145447,26,11,94,0
57,Male,195835,30,0,83,1
55,Male,109686,28,27,20,1
56,Male,138272,85,14,115,1
43,Female,117598,44,0,111,0
35,Male,146523,24,23,76,0
37,Female,132044,72,14,12,1
43,Male,36692,73,5,30,1
50,Female,21345,41,27,8,0
52,Male,198124,4,13,7,1
65,Male,34199,19,29,118,0
23,Female,186693,24,27,22,0
24,Female,121946,70,17,46,1
24,Female,193352,33,20,54,0
32,Male,90913,11,22,34,0
59,Female,41080,57,7,52,0
46,Male,143712,7,12,61,0
26,Female,124931,86,26,26,0
